road_id,day_id,time_id,speed
1,1,1,40.893
1,1,2,41.938
1,1,3,44.098
1,1,4,44.483
1,1,5,44.172
1,1,6,44.416
1,1,7,43.622
1,1,8,44.202
1,1,9,42.898
1,1,10,44.123000000000005
1,1,11,46.065
1,1,12,46.248000000000005
1,1,13,48.178
1,1,14,44.784
1,1,15,47.869
1,1,16,48.299
1,1,17,46.496
1,1,18,47.89
1,1,19,47.712
1,1,20,48.639
1,1,21,46.916
1,1,22,47.794
1,1,23,47.246
1,1,24,46.82899999999999
1,1,25,47.541
1,1,26,46.278
1,1,27,44.318000000000005
1,1,28,44.65
1,1,29,47.947
1,1,30,46.688
1,1,31,48.281000000000006
1,1,32,45.816
1,1,33,44.747
1,1,34,45.559
1,1,35,44.754
1,1,36,45.353
1,1,37,44.589
1,1,38,45.51
1,1,39,45.305
1,1,40,42.882
1,1,41,42.365
1,1,42,42.37
1,1,43,40.648
1,1,44,40.016
1,1,45,40.286
1,1,46,38.715
1,1,47,38.138000000000005
1,1,48,39.105
1,1,49,41.044
1,1,50,39.536
1,1,51,41.24100000000001
1,1,52,38.66
1,1,53,38.73
1,1,54,37.736
1,1,55,38.306
1,1,56,36.882
1,1,57,37.218
1,1,58,36.226
1,1,59,36.801
1,1,60,34.319
1,1,61,32.671
1,1,62,34.082
1,1,63,35.357
1,1,64,36.12
1,1,65,35.044000000000004
1,1,66,36.44
1,1,67,37.393
1,1,68,34.946
1,1,69,37.187
1,1,70,36.408
1,1,71,36.588
1,1,72,35.396
1,1,73,32.497
1,1,74,29.055
1,1,75,27.175
1,1,76,23.557
1,1,77,21.773000000000003
1,1,78,22.388
1,1,79,20.763
1,1,80,22.082
1,1,81,36.515
1,1,82,38.376
1,1,83,35.54
1,1,84,37.136
1,1,85,37.31
1,1,86,36.394
1,1,87,36.656
1,1,88,38.213
1,1,89,35.749
1,1,90,34.375
1,1,91,33.514
1,1,92,33.351
1,1,93,30.96
1,1,94,26.948
1,1,95,27.638
1,1,96,25.905
1,1,97,22.593000000000004
1,1,98,24.624
1,1,99,24.927
1,1,100,18.884
1,1,101,21.257
1,1,102,17.959
1,1,103,15.879
1,1,104,16.916
1,1,105,16.717
1,1,106,16.188
1,1,107,15.68
1,1,108,13.803
1,1,109,15.97
1,1,110,17.82
1,1,111,15.691
1,1,112,15.550999999999998
1,1,113,13.336
1,1,114,14.972
1,1,115,18.036
1,1,116,18.598
1,1,117,17.18
1,1,118,15.307
1,1,119,14.418
1,1,120,14.81
1,1,121,12.735
1,1,122,14.367
1,1,123,16.308
1,1,124,15.709
1,1,125,18.998
1,1,126,23.036
1,1,127,22.51
1,1,128,20.305
1,1,129,25.467
1,1,130,22.554
1,1,131,23.121
1,1,132,27.242
1,1,133,33.71
1,1,134,37.18
1,1,135,31.811
1,1,136,26.14
1,1,137,22.492
1,1,138,27.214
1,1,139,38.134
1,1,140,37.495
1,1,141,39.708
1,1,142,42.349
1,1,143,43.062
1,1,144,43.246
1,2,1,41.227
1,2,2,45.891000000000005
1,2,3,42.333
1,2,4,40.594
1,2,5,43.693000000000005
1,2,6,45.437
1,2,7,46.625
1,2,8,46.277
1,2,9,44.902
1,2,10,47.275
1,2,11,47.149
1,2,12,46.059
1,2,13,46.93899999999999
1,2,14,45.74
1,2,15,44.926
1,2,16,43.763000000000005
1,2,17,46.104
1,2,18,43.089
1,2,19,45.413
1,2,20,43.383
1,2,21,46.425
1,2,22,44.89
1,2,23,45.632
1,2,24,46.092
1,2,25,42.286
1,2,26,42.402
1,2,27,41.845
1,2,28,40.941
1,2,29,43.286
1,2,30,44.262
1,2,31,43.996
1,2,32,40.476
1,2,33,40.978
1,2,34,39.723
1,2,35,44.069
1,2,36,43.804
1,2,37,42.1
1,2,38,45.18
1,2,39,42.59
1,2,40,40.249
1,2,41,42.567
1,2,42,41.739
1,2,43,40.74
1,2,44,38.882
1,2,45,41.386
1,2,46,39.482
1,2,47,40.536
1,2,48,41.37
1,2,49,40.622
1,2,50,41.586000000000006
1,2,51,41.091
1,2,52,39.707
1,2,53,39.904
1,2,54,41.332
1,2,55,37.983
1,2,56,39.568000000000005
1,2,57,39.816
1,2,58,40.83
1,2,59,42.36600000000001
1,2,60,40.859
